dbn,name,address,borough,zip,phone,district,grade,cbo_partner,type,x,y
01M015,P.S. 015 Roberto Clemente,333 East 4 St,Manhattan,10009,212-228-8730,1,ES,Pathways to Leadership,AIDP/Renewal School Program,989998,202288
01M188,P.S. 188 The Island School,442 EAST HOUSTON ST,Manhattan,10002,212-677-5710,1,ES,"Sports and Arts in Schools Foundation, Inc.",AIDP,990375,201446
01M292,Henry Street School for International Studies,220 Henry St,Manhattan,10002,212-406-9411,1,SS,Henry Street Settlement,Renewal School Program,988038,199291
03M149,P.S. 149 Sojourner Truth,41 WEST 117 ST,Manhattan,10026,646-672-9020,3,K-8,"New York City Community Learning Schools Initiative, Inc.",Renewal School Program,998694,231521
03M415,Wadleigh Secondary School for the Performing & Vis,215 WEST 114 ST,Manhattan,10026,212-749-5800,3,SS,"Teachers College, Columbia University",Renewal School Program,996946,231546
04M050,P.S. 050 Vito Marcantonio,433 EAST 100 ST,Manhattan,10029,212-860-5976,4,K-8,The Children's Aid Society,Renewal School Program,1000443,225373
04M377,Renaissance School of the Arts,319 EAST 117 ST,Manhattan,10035,212-534-6072,4,MS,"Partnership with Children, Inc.",Renewal School Program,1001869,229762
04M381,Global Neighborhood Secondary School,240 East 109 St,Manhattan,10029,212-289-4204,4,MS,"Global Kids, Inc.",AIDP,1000226,228219
04M409,Coalition School for Social Change,2351 FIRST AVE,Manhattan,10035,212-831-5153,4,HS,"Partnership with Children, Inc.",Renewal School Program,1002705,230326
05M123,P.S. 123 Mahalia Jackson,301 WEST 140 ST,Manhattan,10030,212-342-6200,5,K-8,Graham Windham,Renewal School Program,999630,237945
05M154,P.S. 154 Harriet Tubman,250 West 127 St,Manhattan,10027,212-864-2400,5,ES,"Teacher's College, Columbia University",AIDP,998385,234724
05M194,P.S. 194 Countee Cullen,244 WEST 144 ST,Manhattan,10030,212-690-5954,5,ES,"Teachers College, Columbia University",Renewal School Program,1000596,238590
06M132,P.S. 132 Juan Pablo Duarte,185 Wadsworth Ave,Manhattan,10033,212-927-7857,6,ES,Urban Arts Partnership,Renewal School Program,1002405,249190
06M423,High School for Excellence and Innovation,650 Academy St,Manhattan,10034,212-569-1022,6,TS,"East Side House, Inc.",AIDP,1005040,254813
06M463,High School for Media and Communications,549 Audobon Ave,Manhattan,10040,212-927-1841,6,HS,"Catholic Charities Community Services, Archdiocese of New York",AIDP,1004430,251133
06M468,High School for Health Careers and Sciences,549 Audubon Ave,Manhattan,10040,212-927-1841,6,HS,"Catholic Charities Community Services, Archdiocese of New York",Renewal School Program,1004430,251133
06M528,I.S. 528 Bea Fuller Rodgers School,180 Wadsworth Ave,Manhattan,10033,212-740-4900,6,MS,Urban Arts Partnership,Renewal School Program,1002375,249148
07X154,P.S. 154 Jonathan D. Hyatt,333 EAST 135 ST,Bronx,10454,718-292-4742,7,ES,YMCA of Greater New York,Renewal School Program,1004679,233674
07X162,J.H.S. 162 Lola Rodriguez De Tio,600 Saint Ann's Avenue,Bronx,10455,718-292-0880,7,MS,"Westhab, Inc.",Renewal School Program,1008542,236397
07X379,Jill Chaifetz Transfer High School,778 Forest Avenue,Bronx,10456,718-402-2429,7,TS,Bronx Works,AIDP,1010288,237629
07X520,Foreign Language Academy of Global Studies,470 JACKSON AVENUE,Bronx,10455,718-585-4024,7,HS,Center for Supportive Schools,Renewal School Program,1009218,234818
07X547,New Explorers High School,730 CONCOURSE VILLAGE WEST,Bronx,10451,718-292-4150,7,HS,"Sports and Arts in Schools Foundation, Inc.",Renewal School Program,1005332,238876
08X123,J.H.S. 123 James M. Kieran,1025 Morrison Ave,Bronx,10472,718-328-2105,8,MS,"Leake and Watts Services, Inc.",Renewal School Program,1019214,240019
08X269,Bronx Studio School for Writers and Artists,928 Simpson Street,Bronx,10459,718-893-5158,8,HS,"Global Kids, Inc.",AIDP,1013830,238254
08X301,M.S. 301 Paul L. Dunbar,890 CAULDWELL AVE,Bronx,10456,718-585-2950,8,MS,The Children's Aid Society,Renewal School Program,1009936,238940
08X332,Holcombe L. Rucker School of Community Research,965 Longwood Ave,Bronx,10459,718-860-1053,8,HS,Talent Development Secondary - Johns Hopkins University,Renewal School Program,1015595,238647
08X366,Urban Assembly Academy of Civic Engagement,650 Hollywood Ave,Bronx,19465,718-822-0126,8,MS,"East Side House, Inc.",AIDP/Renewal School Program,1034504,240455
08X371,Urban Institute of Mathematics,650 Hollywood Ave,Bronx,19465,718-823-6042,8,MS,"East Side House, Inc.",AIDP,1034504,240455
08X375,The Bronx Mathematics Preparatory School,456 White Plains Rd,Bronx,10473,718-542-5063,8,MS,Counseling In Schools,Renewal School Program,1023957,236133
08X405,Herbert H. Lehman High School,3000 EAST TREMONT AVE,Bronx,10461,718-904-4200,8,HS,"East Side House, Inc.",Renewal School Program,1028924,245609
08X424,The Hunts Point School,730 Bryant Ave,Bronx,10474,718-328-1972,8,MS,"ASPIRA of New York,Inc.",Renewal School Program,1015869,236398
08X530,Banana Kelly High School,965 Longwood Ave,Bronx,10459,718-860-1242,8,HS,Replications Incorporated,Renewal School Program,1012424,237135
09X022,J.H.S. 022 Jordan L. Mott,270 EAST 167 ST,Bronx,10456,718-681-6850,9,MS,SHELTERING ARMS CHILDREN & FAMILY SERVICES INC,Renewal School Program,1008041,242821
09X042,P.S. 042 Claremont,1537 Washington Ave,Bronx,10457,718-583-7366,9,ES,Bronx Works,AIDP,1011094,244703
09X055,P.S. 055 Benjamin Franklin,450 Saint Paul's Pl,Bronx,10456,718-681-6227,9,ES,SCAN,AIDP,1010534,244016
09X064,P.S. 064 Pura Belpre,1425 WALTON AVE,Bronx,10452,718-681-8088,9,ES,Abbott House,null,1007612,245358
09X117,I.S. 117 Joseph H. Wade,1865 Morris Ave,Bronx,10456,718-583-7750,9,MS,"Community Association of Progressive Dominicans, Inc.",Renewal School Program,1009585,248428
09X145,J.H.S. 145 Arturo Toscanini,1000 TELLER AVE,Bronx,10456,718-681-7219,9,MS,Center for Supportive Schools,Renewal School Program,1007947,240930
09X219,I.S. 219 New Venture School,3630 Third Ave,Bronx,10456,718-681-7093,9,MS,The Children's Aid Society,AIDP/Renewal School Program,1010680,242962
09X227,Bronx Collegiate Academy,240 EAST 172 ST,Bronx,10457,718-410-4077,9,HS,Counseling In Schools,Renewal School Program,1008901,245478
09X276,Leadership Institute,1701 FULTON AVE,Bronx,10457,718-299-7490,9,HS,PHIPPS NEIGHBORHOODS INC,Renewal School Program,1012427,245653
09X297,Morris Academy for Collaborative Studies,1110 Boston Rd,Bronx,10456,718-542-3700,9,HS,Center for Supportive Schools,AIDP,1010687,240824
09X313,I.S. 313 School of Leadership Development,1600 WEBSTER AVE,Bronx,10457,718-583-1736,9,MS,PHIPPS NEIGHBORHOODS INC,Renewal School Program,1010604,245646
09X324,Bronx Early College Academy for Teaching & Learnin,250 EAST 164 ST,Bronx,10456,718-681-8287,9,MS,Fordham University,Renewal School Program,1007035,241204
09X325,Urban Science Academy,1000 TELLER AVE,Bronx,10456,718-588-8221,9,MS,Center for Supportive Schools,Renewal School Program,1007947,240930
09X328,New Millennium Business Academy Middle School,1000 TELLER AVE,Bronx,10456,718-588-8308,9,MS,Center for Supportive Schools,Renewal School Program,1007947,240930
09X329,DreamYard Preparatory School,240 EAST 172 ST,Bronx,10457,718-410-4242,9,HS,Counseling In Schools,Renewal School Program,1008901,245478
09X339,I.S. 339,1600 WEBSTER AVE,Bronx,10457,718-583-6767,9,MS,PHIPPS NEIGHBORHOODS INC,Renewal School Program,1010604,245646
09X412,Bronx High School of Business,240 EAST 172 ST,Bronx,10457,718-410-4060,9,HS,"The Committee for Hispanic Children and Families, Inc.",Renewal School Program,1008901,245478
10X080,J.H.S. 080 The Mosholu Parkway,149 EAST MOSHOLU PKWY N,Bronx,10467,718-405-6300,10,MS,"ASPIRA of New York,Inc.",Renewal School Program,1017012,258559
10X085,P.S. 085 Great Expectations,2400 Marion Ave,Bronx,10458,718-584-5275,10,ES,Fordham University,Renewal School Program,1013310,252288
10X331,The Bronx School of Young Leaders,40 WEST TREMONT AVE,Bronx,10453,718-583-4146,10,MS,Fordham University,Renewal School Program,1008822,249632
10X363,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,120 EAST 184 ST,Bronx,10468,718-220-3139,10,MS,Wediko Children's Services,Renewal School Program,1011867,252524
10X391,The Angelo Patri Middle School,2225 WEBSTER AVE,Bronx,10457,718-584-1295,10,MS,Replications Incorporated,Renewal School Program,1012822,250609
10X433,High School for Teaching and the Professions,2780 Reservoir Ave,Bronx,10468,718-329-7380,10,HS,"Sports and Arts in Schools Foundation, Inc.",AIDP,1012375,256365
10X438,Fordham Leadership Academy for Business and Techno,500 EAST FORDHAM Rd,Bronx,10458,718-733-5024,10,HS,Fordham University,Renewal School Program,1015157,252634
10X440,DeWitt Clinton High School,100 West Mosholu Parkway South,Bronx,10468,718-543-1000,10,HS,Good Shepherd Services,AIDP/Renewal School Program,1015522,260699
11X112,P.S. 112 Bronxwood,1925 SCHIEFFELIN AVE,Bronx,10466,718-654-6377,11,ES,Fordham University,Renewal School Program,1027609,261749
11X272,Globe School for Environmental Research,3710 Barnes Avenue,Bronx,10467,718-994-1395,11,MS,PHIPPS NEIGHBORHOODS INC,Renewal School Program,1022714,260234
11X289,The Young Scholars Academy of The Bronx,3710 Barnes Avenue,Bronx,10467,718-325-5834,11,MS,PHIPPS NEIGHBORHOODS INC,Renewal School Program,1022714,260234
11X370,School of Diplomacy,3710 Barnes Avenue,Bronx,10467,718-994-1028,11,MS,PHIPPS NEIGHBORHOODS INC,Renewal School Program,1022714,260234
12X092,P.S. 092 Bronx,700 E 179th St,Bronx,10457,718-731-7900,12,ES,"ASPIRA of New York,Inc.",Renewal School Program,1014735,247776
12X211,P.S. 211,1919 Prospect Avenue,Bronx,10457,718-901-0436,12,ES,The Children's Aid Society,AIDP,1014753,246623
12X217,School of Performing Arts,977 FOX ST,Bronx,10459,718-589-4844,12,MS,"Leake and Watts Services, Inc.",Renewal School Program,1013615,238933
12X271,East Bronx Academy For The Future,1716 Southern Boulevard,Bronx,10460,718-861-8641,12,HS,PHIPPS NEIGHBORHOODS INC,AIDP,1015142,244004
12X278,Peace and Diversity Academy,1180 REV JAMES A POLITE AVE,Bronx,10459,718-991-1855,12,HS,PHIPPS NEIGHBORHOODS INC,Renewal School Program,1012586,240707
12X286,Fannie Lou Hamer Middle School,1001 JENNINGS ST,Bronx,10460,718-860-2707,12,MS,Talent Development Secondary - Johns Hopkins University,Renewal School Program,1015495,242113
12X384,Entrada Academy,977 FOX ST,Bronx,10459,718-378-1649,12,MS,"East Side House, Inc.",Renewal School Program,1013615,238933
12X463,Urban Scholars Community School,1180 Tinton Ave,Bronx,10456,718-842-8133,12,ES,"East Side House, Inc.",AIDP/Renewal School Program,1011725,241108
12X479,Bronx Career and College Preparatory HS,800 Home St,Bronx,10456,718-542-4011,12,HS,The Children's Aid Society,AIDP,1011896,240862
12X692,Monroe Academy for Visual Arts & Design,1300 BOYNTON AVE,Bronx,10472,718-860-8160,12,HS,"ASPIRA of New York,Inc.",Renewal School Program,1017759,242275
13K067,P.S. 067 Charles A. Dorsey,51 SAINT EDWARDS St,Brooklyn,11205,718-834-6756,13,ES,"Partnership with Children, Inc.",Renewal School Program,990291,192715
13K301,Satellite East Middle School,344 Monroe Street,Brooklyn,11216,718-789-4251,13,MS,"Partnership with Children, Inc.",Renewal School Program,999440,189237
13K596,MS 596 Peace Academy,300 WILLOUGHBY AVE,Brooklyn,11205,718-230-3273,13,MS,Center for Supportive Schools,Renewal School Program,995677,191627
14K050,J.H.S. 050 John D. Wells,183 South 3 St,Brooklyn,11211,718-387-4184,14,MS,El Puente,AIDP/Renewal School Program,995263,198572
14K071,Juan Morel Campos Secondary School,215 Heyward St,Brooklyn,11206,718-302-7900,14,SS,Grand Street Settlement INC.,Renewal School Program,997241,195629
14K126,John Ericsson Middle School 126,424 LEONARD ST,Brooklyn,11222,718-782-2527,14,MS,St. Nicks Alliance,null,998491,201530
14K322,Foundations Academy,70 TOMPKINS AVE,Brooklyn,11206,718-302-5092,14,HS,Grand Street Settlement INC.,Renewal School Program,999046,193272
14K454,Green School: An Academy for Environmental Careers,223 Graham Ave,Brooklyn,11206,718-599-1207,14,HS,St. Nicks Alliance,AIDP,999875,197932
14K610,Automotive High School,50 BEDFORD AVE,Brooklyn,11249,718-218-9301,14,HS,Counseling In Schools,Renewal School Program,997061,202146
16K335,P.S. 335 Granville T. Woods,130 Rochester Ave,Brooklyn,11213,718-493-7736,16,ES,"New York City Community Learning Schools Initiative, Inc.",AIDP,1004279,185080
16K393,Frederick Douglass Academy IV Secondary School,1014 Lafayette Ave,Brooklyn,11221,718-574-2820,16,SS,Center for Supportive Schools,Renewal School Program,1003182,191444
16K455,Boys And Girls High School,1700 FULTON ST,Brooklyn,11213,718-467-1700,16,HS,Good Shepherd Services,Renewal School Program,1002998,186822
16K534,Upper School @ P.S. 25,787 LAFAYETTE AVE,Brooklyn,11221,718-574-6032,16,MS,"Partnership with Children, Inc.",Renewal School Program,1000517,191045
16K584,M.S. 584,130 Rochester Ave,Brooklyn,11213,718-604-1380,16,MS,"New York City Community Learning Schools Initiative, Inc.",AIDP/Renewal School Program,1004279,185080
17K334,Middle School for Academic and Social Excellence,1224 PARK PLACE,Brooklyn,11213,718-774-0105,17,MS,Counseling In Schools,Renewal School Program,1001747,184370
17K352,Ebbets Field Middle School,46 McKeever Place,Brooklyn,11225,718-941-5097,17,MS,"Sports and Arts in Schools Foundation, Inc.",AIDP/Renewal School Program,995616,181569
17K568,Brownsville Academy High School,1150 East New York Ave,Brooklyn,11212,718-778-7305,17,TS,CAMBA,AIDP,1005318,182116
18K272,P.S. 272 Curtis Estabrook,101-24 Seaview Ave,Brooklyn,11236,718-241-1300,18,ES,After School All Stars,AIDP,1015776,170978
18K566,Brooklyn Generation School,6565 Flatlands Ave,Brooklyn,11236,718-968-4200,18,HS,Urban Arts Partnership,AIDP/Renewal School Program,1007361,170010
18K581,East Flatbush Community Research School,905 WINTHROP ST,Brooklyn,11203,718-773-3059,18,MS,"University Settlement Society of New York, Inc.",Renewal School Program,1003928,179168
18K673,East Brooklyn Community High School,9517 Kings Highway,Brooklyn,11212,718-927-6880,18,TS,SCO Family of Services,AIDP,1006344,179418
19K158,P.S. 158 Warwick,400 Ashford St,Brooklyn,11207,718-277-6116,19,ES,Grand Street Settlement INC.,AIDP,1016205,184336
19K306,P.S. 306 Ethan Allen,970 VERMONT ST,Brooklyn,11207,718-649-3155,19,K-8,"Partnership with Children, Inc.",Renewal School Program,1015729,178294
19K311,Essence School,590 SHEFFIELD AVENUE,Brooklyn,11207,718-272-8371,19,MS,Good Shepherd Services,Renewal School Program,1013536,180597
19K328,P.S. 328 Phyllis Wheatley,330 ALABAMA AVENUE,Brooklyn,11207,718-345-9393,19,ES,Counseling In Schools,Renewal School Program,1012592,182724
19K404,Academy for Young Writers,1065 Elton Street,Brooklyn,11208,718-688-7230,19,HS,Pathways to Leadership,AIDP,1019000,178831
19K422,Spring Creek Community School,1065 Elton Street,Brooklyn,11208,718-688-7200,19,HS,Pathways to Leadership,AIDP,1019000,178831
19K557,Brooklyn Gardens ES School,574 Dumont Ave,Brooklyn,11207,718-495-7012,19,ES,"Partnership with Children, Inc.",AIDP,1012624,181861
19K583,Multicultural High School,999 JAMAICA AVE,Brooklyn,11208,718-827-2796,19,HS,Cypress Hills Local Development Corporation,Renewal School Program,1020765,191107
19K639,Brooklyn Lab School,999 Jamaica Ave,Brooklyn,11208,718-235-3592,19,HS,Henry Street Settlement,AIDP,1020765,191107
19K659,Cypress Hills Collegiate Preparatory School,999 JAMAICA AVE,Brooklyn,11208,718-647-1672,19,HS,Cypress Hills Local Development Corporation,Renewal School Program,1020765,191107
21K096,I.S. 096 Seth Low,99 Avenue P,Brooklyn,11204,718-236-1344,21,MS,"New York City Community Learning Schools Initiative, Inc.",AIDP,988509,160620
23K156,P.S. 156 Waverly,104 Sutter Ave,Brooklyn,11212,718-498-2811,23,ES,"New York City Community Learning Schools Initiative, Inc.",AIDP,1006969,181916
23K165,P.S. 165 Ida Posner,76 LOTT AVENUE,Brooklyn,11212,718-495-7759,23,K-8,"Partnership with Children, Inc.",Renewal School Program,1008929,178812
23K284,P.S. 284 Lew Wallace,213 OSBORN ST,Brooklyn,11212,718-495-7791,23,K-8,"Partnership with Children, Inc.",Renewal School Program,1009713,182433
23K298,P.S. 298 Dr. Betty Shabazz,85 WATKINS ST,Brooklyn,11212,718-495-7793,23,K-8,"Partnership with Children, Inc.",Renewal School Program,1009717,183748
23K493,Brooklyn Collegiate: A College Board School,2021 Bergen St,Brooklyn,11215,718-922-1145,23,SS,Counseling In Schools,Renewal School Program,1008307,184882
24Q296,Pan American International High School,45-10 94 ST,Queens,11373,718-271-3602,24,HS,Urban Arts Partnership,Renewal School Program,1020095,210264
25Q460,Flushing High School,35-01 UNION ST,Queens,11354,718-888-7500,25,HS,Center for Supportive Schools,Renewal School Program,1031926,218094
26Q435,Martin Van Buren High School,230-17 HILLSIDE AVE,Queens,11427,718-776-4728,26,HS,Talent Development Secondary - Johns Hopkins University,Renewal School Program,1056652,206460
27Q042,P.S./M.S 042 R. Vernam,488 Beach 66 St,Queens,11692,718-634-7914,27,K-8,FHI 360,AIDP/Renewal School Program,1041098,155949
27Q053,M.S. 053 Brian Piccolo,10-45 NAMEOKE ST,Queens,11691,718-471-6900,27,MS,"Sports and Arts in Schools Foundation, Inc.",Renewal School Program,1053921,159292
27Q197,P.S. 197 The Ocean School,825 HICKSVILLE Rd,Queens,11691,718-327-1083,27,ES,"The Child Center of NY, Inc",Renewal School Program,1055349,158049
27Q351,Rockaway Collegiate High School,100-00 Beach Channel Dr,Queens,11694,718-734-3290,27,HS,"Partnership with children, Inc",AIDP,1033517,152846
27Q400,August Martin High School,156-10 BAISLEY BOULEVARD,Queens,11434,718-528-2920,27,HS,"The Child Center of NY, Inc",Renewal School Program,1044347,185502
27Q475,Richmond Hill High School,89-30 114 ST,Queens,11418,718-846-3335,27,HS,"South Asian Youth Action, Inc.",Renewal School Program,1030370,192851
27Q480,John Adams High School,101-01 ROCKAWAY BOULEVARD,Queens,11417,718-322-0500,27,HS,"Global Kids, Inc.",Renewal School Program,1029378,186929
28Q008,J.H.S. 008 Richard S. Grossley,108-35 167 ST,Queens,11433,718-739-6883,28,MS,"Southern Queens Park Association, Inc.",Renewal School Program,1043260,193353
30Q111,P.S. 111 Jacob Blackwell,37-15 13 ST,Queens,11101,718-786-2073,30,K-8,The Tides Center/Zone 126,Renewal School Program,1001044,215745
30Q450,Long Island City High School,14-30 BROADWAY,Queens,11106,718-545-7095,30,HS,The Tides Center/Zone 126,Renewal School Program,1002865,218295
31R078,P.S. 78,100 Tompkins Ave,Staten Island,10304,718-442-3094,31,ES,"Partnership with Children, Inc.",AIDP,962456,166063
31R445,Port Richmond High School,85 St. Josephs Ave,Staten Island,10302,718-420-2100,31,HS,NY Center for Interpersonal Dev.,AIDP,944888,170500
32K168,Brooklyn School For Math & Research,400 Irving Ave,Brooklyn,11237,718-381-7100,32,HS,Make the Road,AIDP,1008987,193214
32K291,J.H.S. 291 Roland Hayes,231 PALMETTO ST,Brooklyn,11221,718-574-0361,32,MS,Wediko Children's Services,Renewal School Program,1007781,192627
32K349,"I.S. 349 Math, Science & Tech.",35 STARR ST,Brooklyn,11221,718-418-6389,32,MS,Center for Supportive Schools,Renewal School Program,1004358,194565
32K403,Academy For Environmental Leadership,400 Irving Ave,Brooklyn,11237,718-381-7100,32,HS,Make the Road,AIDP,1008987,193214
32K549,Bushwick School For Social Justice,400 Irving Ave,Brooklyn,11237,718-381-7100,32,HS,Make the Road,AIDP,1008987,193214
32K552,Academy Of Urban Planning,400 Irving Ave,Brooklyn,11237,718-381-7100,32,HS,Make the Road,AIDP/Renewal School Program,1008987,193214
84M522,Broome Street Academy Charter School,121 Avenues of the Americas,Manhattan,10013,212-453-0295,84,HS,The Door,AIDP,982950,203014
